course,accuracy,loss,auc,model,stage
GGG2014B,0.39520958083832336,1.373951350278997,0.5667742225095166,XGBoost,10
GGG2014B,0.4550898203592814,1.2558505626765704,0.5929212454212455,SVM,10
DDD2014J,0.5650969743728638,1.0812829732894897,0.7905696630477905,CNN,20
DDD2014J,0.5650969529085873,2.0068396142560894,0.7176291501608786,KNN,20
DDD2014J,0.5789473684210527,1.0187442424416766,0.730951105535614,FOR,20
DDD2014J,0.590027700831025,1.34959845266956,0.7147051897202985,XGBoost,20
DDD2014J,0.5761772853185596,1.0276199310793395,0.7420545644256361,SVM,20
AAA2014J,0.6438356041908264,1.2222990989685059,0.821792721748352,CNN,20
AAA2014J,0.6301369863013698,2.7558131413937144,0.6238062058714232,KNN,20
AAA2014J,0.6438356164383562,1.4703267842886096,0.6232410504149636,FOR,20
AAA2014J,0.547945205479452,1.3513819040655584,0.5472562863867211,XGBoost,20
AAA2014J,0.6301369863013698,1.0453082317996867,0.5527839712622321,SVM,20
BBB2013J,0.515625,1.5493990182876587,0.7408929467201233,CNN,20
BBB2013J,0.5267857142857143,2.002543595523404,0.6629366543501719,KNN,20
BBB2013J,0.5825892857142857,1.0534733053041485,0.728659183104435,FOR,20
BBB2013J,0.5357142857142857,1.357394581265286,0.7060013126946266,XGBoost,20
BBB2013J,0.5602678571428571,1.0895052689541058,0.7132045031124488,SVM,20
CCC2014B,0.5257731676101685,2.1041741371154785,0.7651793360710144,CNN,20
CCC2014B,0.5309278350515464,2.0898669232957596,0.7011807828696126,KNN,20
CCC2014B,0.5515463917525774,1.0279397951167504,0.7406810051322464,FOR,20
CCC2014B,0.5180412371134021,1.3542713057122087,0.701742912852842,XGBoost,20
CCC2014B,0.5412371134020618,1.0547539552993748,0.7354089935543836,SVM,20
CCC2014J,0.5260000228881836,1.1794382333755493,0.7495819330215454,CNN,20
CCC2014J,0.528,1.7883256929061382,0.7142044370397326,KNN,20
CCC2014J,0.54,1.0471903108827363,0.7489591025496267,FOR,20
CCC2014J,0.508,1.355394649968401,0.7199477531841474,XGBoost,20
CCC2014J,0.548,1.0666628509652054,0.743344847746268,SVM,20
DDD2013J,0.5154638886451721,1.768276572227478,0.7480393052101135,CNN,20
DDD2013J,0.5,1.7661443101314156,0.6716184678912981,KNN,20
DDD2013J,0.5618556701030928,1.0508196128724012,0.7226736329088818,FOR,20
DDD2013J,0.5412371134020618,1.354895278810635,0.7150597382549707,XGBoost,20
DDD2013J,0.5489690721649485,1.0585056034906142,0.7310154429723467,SVM,20
DDD2014B,0.4878048896789551,1.3182779550552368,0.7093358039855957,CNN,20
DDD2014B,0.47560975609756095,1.837859775368744,0.6768383835906158,KNN,20
DDD2014B,0.47560975609756095,1.085905510775965,0.731599773545458,FOR,20
DDD2014B,0.46747967479674796,1.3615226613528777,0.6890416957381245,XGBoost,20
DDD2014B,0.5040650406504065,1.1029159773291302,0.7457590497025021,SVM,20
EEE2014B,0.5107913613319397,1.1177245378494263,0.7712765336036682,CNN,20
EEE2014B,0.5539568345323741,1.9752115180549161,0.7313969447428095,KNN,20
EEE2014B,0.60431654676259,0.9618475538404619,0.787538199756245,FOR,20
EEE2014B,0.5251798561151079,1.3535679733435177,0.7449251736845722,XGBoost,20
EEE2014B,0.5899280575539568,1.0166175406118174,0.7701082612736748,SVM,20
EEE2014J,0.575630247592926,1.7001688480377197,0.7729003429412842,CNN,20
EEE2014J,0.5546218487394958,2.054591100143857,0.7038565509330859,KNN,20
EEE2014J,0.5840336134453782,1.0016591042701035,0.7487798667305242,FOR,20
EEE2014J,0.5798319327731093,1.3517405822161896,0.7440428677382771,XGBoost,20
EEE2014J,0.6134453781512605,0.9791439155421796,0.7544569880000931,SVM,20
FFF2013B,0.5634675025939941,1.1202086210250854,0.7955027222633362,CNN,20
FFF2013B,0.5541795665634675,1.9538119128303348,0.7142385451809451,KNN,20
FFF2013B,0.5479876160990712,1.0503319459376224,0.7365907843311336,FOR,20
FFF2013B,0.5541795665634675,1.3542966942039405,0.7434733953665619,XGBoost,20
FFF2013B,0.5479876160990712,1.0540785922254172,0.7396686887563471,SVM,20
FFF2013J,0.52078777551651,1.3585307598114014,0.7552235126495361,CNN,20
FFF2013J,0.4989059080962801,2.462553264973755,0.6978558041664837,KNN,20
FFF2013J,0.5382932166301969,1.0437720358055913,0.7485331276188881,FOR,20
FFF2013J,0.5010940919037199,1.3575542253065351,0.7247918666203456,XGBoost,20
FFF2013J,0.5645514223194749,1.0392823638383302,0.7556018517183567,SVM,20
FFF2014B,0.5099999904632568,1.401641845703125,0.7384852170944214,CNN,20
